"","block","start_meter","end_meter","formation_start","release_end","line","buffer"
"362","6_8_1",0,201,414,479.739600000001,"ice_s_1",1734.2604
"713","6_8_1",0,201,2214,2279.73959999991,"ic3_s_1",3534.26040000009
"1064","6_8_1",0,201,5814,5879.73960000009,"ic3_s_2",NA
"2033","8_9_1",201,701,294,396.35027216287,"ir46_s_1",17.6497278371298
"363","8_9_1",201,701,414,513.244441336513,"ice_s_1",80.7555586634875
"2139","8_9_1",201,701,594,695.585105997597,"ir70_s_1",18.4148940024031
"2285","8_9_1",201,701,714,803.899419412625,"re_s_1",393.644665747388
"2191","8_9_1",201,701,1197.54408516001,NA,"ir75_n_1",NA
"360","8_9_1",201,701,1368.58943698413,NA,"ec_n_1",NA
"2069","8_9_1",201,701,1974,2076.35027216281,"ir_s_1",17.649727837188
"2211","8_9_1",201,701,2094,2196.3502721629,"ir75_s_1",17.6497278370985
"714","8_9_1",201,701,2214,2313.24444133642,"ic3_s_1",80.7555586635758
"110","8_9_1",201,701,2394,2496.3502721629,"rjx_s",77.6497278370985
"5423","8_9_1",201,701,2574,2667.04103769703,"s25_s_1",87.4093817148682
"2119","8_9_1",201,701,2754.45041941189,NA,"ir70_n_1",NA
"2066","8_9_1",201,701,3168.58943698275,NA,"ir46_n_1",NA
"1797","8_9_1",201,701,3894,3996.3502721629,"ic2_s_1",197.649727837098
"2158","8_9_1",201,701,4194,4295.58510599749,"ir70_s_2",18.4148940025143
"3000","8_9_1",201,701,4314,4403.89941941275,"re_s_2",-58.3619814420426
"5966","8_9_1",201,701,4345.5374379707,4433.28750457696,"s25_n_1",274.918383569855
"107","8_9_1",201,701,4708.20588814682,NA,"rjx_n",NA
"2208","8_9_1",201,701,4797.54408516162,NA,"ir75_n_2",NA
"1540","8_9_1",201,701,4862.66050093785,NA,"ic3_n_1",NA
"2102","8_9_1",201,701,4968.5894369821,NA,"ir_n_1",NA
"327","8_9_1",201,701,5574,5676.35027216272,"ec_s_1",17.6497278372753
"2248","8_9_1",201,701,5694,5796.35027216272,"ir75_s_2",17.6497278372753
"1065","8_9_1",201,701,5814,5913.24444133652,"ic3_s_2",260.755558663475
"5661","8_9_1",201,701,6174,6267.04103769703,"s25_s_2",-22.0964477772586
"3839","8_9_1",201,701,6244.94458991977,6336.97539981683,"re_n_1",17.4750195984052
"2136","8_9_1",201,701,6354.45041941524,NA,"ir70_n_2",NA
"1667","8_9_1",201,701,6662.66050095529,NA,"ic3_n_2",NA
"1830","8_9_1",201,701,6768.5894369821,NA,"ic2_n_1",NA
"6086","8_9_1",201,701,7945.53743797028,8033.28750457654,"s25_n_2",429.372996370992
"1794","8_9_1",201,701,8462.66050094753,NA,"ic3_n_3",NA
"4375","8_9_1",201,701,9844.94458990476,9936.97539980182,"re_n_2",NA
"2034","9_21_1",701,1241,323.280000000006,425.996272162887,"ir46_s_1",16.8037278371136
"364","9_21_1",701,1241,442.800000000001,541.675441336499,"ice_s_1",81.36455866351
"2140","9_21_1",701,1241,623.040000000009,724.988105997583,"ir70_s_1",17.8118940024181
"2286","9_21_1",701,1241,742.800000000001,833.059419412611,"re_s_1",1170.22058058736
"2070","9_21_1",701,1241,2003.27999999997,2105.99627216286,"ir_s_1",17.2837278371571
"2212","9_21_1",701,1241,2123.28000000002,2225.99627216295,"ir75_s_1",16.8037278370061
"715","9_21_1",701,1241,2242.79999999996,2341.67544133647,"ic3_s_1",81.6045586635469
"111","9_21_1",701,1241,2423.28000000002,2525.99627216295,"rjx_s",75.6037278370345
"5424","9_21_1",701,1241,2601.59999999998,2698.63103769708,"s25_s_1",1224.64896230294
"1798","9_21_1",701,1241,3923.28000000002,4025.99627216295,"ic2_s_1",197.043727837037
"2159","9_21_1",701,1241,4223.03999999999,4324.98810599729,"ir70_s_2",17.8118940027589
"3001","9_21_1",701,1241,4342.80000000005,4433.05941941279,"re_s_2",1170.22058058713
"328","9_21_1",701,1241,5603.27999999993,5705.99627216277,"ec_s_1",17.2837278371535
"2249","9_21_1",701,1241,5723.27999999993,5825.99627216277,"ir75_s_2",16.803727837274
"1066","9_21_1",701,1241,5842.80000000005,5941.67544133633,"ic3_s_2",259.924558663659
"5662","9_21_1",701,1241,6201.59999999998,6298.63103769708,"s25_s_2",NA
"2035","21_22_1",1241,1566,376.425075213957,443.838772162898,"ir46_s_1",49.9282261980178
"365","21_22_1",1241,1566,493.766998360916,558.78669133649,"ice_s_1",116.962768506868
"2141","21_22_1",1241,1566,675.749459843358,742.684355997575,"ir70_s_1",44.1690634150544
"2287","21_22_1",1241,1566,786.853419412629,850.609419412602,"re_s_1",1205.81565580128
"2071","21_22_1",1241,1566,2056.42507521389,2123.83877216289,"ir_s_1",52.5863030510882
"2213","21_22_1",1241,1566,2176.42507521398,2243.83877216298,"ir75_s_1",49.9282261978378
"716","21_22_1",1241,1566,2293.76699836082,2358.7866913365,"ic3_s_1",117.638383877479
"112","21_22_1",1241,1566,2476.42507521398,2543.83877216298,"rjx_s",105.485765534033
"5425","21_22_1",1241,1566,2649.32453769701,2717.64353769711,"s25_s_1",1258.78153751687
"1799","21_22_1",1241,1566,3976.42507521398,4043.83877216298,"ic2_s_1",231.910687680336
"2160","21_22_1",1241,1566,4275.74945984331,4342.68435599717,"ir70_s_2",44.1690634155639
"3002","21_22_1",1241,1566,4386.85341941273,4450.60941941282,"re_s_2",1205.81565580098
"329","21_22_1",1241,1566,5656.4250752138,5723.8387721628,"ec_s_1",52.586303050999
"2250","21_22_1",1241,1566,5776.4250752138,5843.8387721628,"ir75_s_2",49.9282261982053
"1067","21_22_1",1241,1566,5893.76699836101,5958.7866913362,"ic3_s_2",290.537846360809
"5663","21_22_1",1241,1566,6249.32453769701,6317.64353769711,"s25_s_2",NA
"2036","22_23_1",1566,2643,406.071172162881,483.28952714328,"ir46_s_1",38.9085641932252
"366","22_23_1",1566,2643,522.198091336505,596.620612096362,"ice_s_1",108.531943901226
"2142","22_23_1",1566,2643,705.152555997588,781.811744133853,"ir70_s_1",34.2016752787616
"2288","22_23_1",1566,2643,816.013419412615,884.479626844083,"re_s_1",1201.59154531876
"2072","22_23_1",1566,2643,2086.07117216284,2163.28952714327,"ir_s_1",42.7816450196606
"2214","22_23_1",1566,2643,2206.07117216293,2283.28952714336,"ir75_s_1",38.9085641930928
"717","22_23_1",1566,2643,2322.19809133645,2396.62061209637,"ic3_s_1",109.45056006656
"113","22_23_1",1566,2643,2506.07117216293,2583.28952714336,"rjx_s",97.6250105537024
"5426","22_23_1",1566,2643,2680.91453769706,2754.33626241455,"s25_s_1",1251.73490974838
"1800","22_23_1",1566,2643,4006.07117216293,4083.28952714336,"ic2_s_1",221.863028854
"2161","22_23_1",1566,2643,4305.15255599736,4381.81174413344,"ir70_s_2",34.2016752793434
"3003","22_23_1",1566,2643,4416.01341941278,4484.4796268443,"re_s_2",1201.59154531846
"330","22_23_1",1566,2643,5686.07117216275,5763.28952714319,"ec_s_1",42.7816450195678
"2251","22_23_1",1566,2643,5806.07117216275,5883.28952714319,"ir75_s_2",38.9085641932115
"1068","22_23_1",1566,2643,5922.1980913364,5996.62061209608,"ic3_s_2",284.293925600984
"5664","22_23_1",1566,2643,6280.91453769706,6354.33626241428,"s25_s_2",NA
"2037","23_24_1",2643,3720,423.913672162891,512.854453568476,"ir46_s_1",26.454887768019
"367","23_24_1",2643,3720,539.309341336495,624.973861209109,"ice_s_1",97.8749447884709
"2143","23_24_1",2643,3720,722.84880599758,811.134335096608,"ir70_s_1",22.4290843159981
"2289","23_24_1",2643,3720,833.563419412606,913.55862684413,"re_s_1",1190.35504531874
"2073","23_24_1",2643,3720,2103.91367216287,2192.85445356853,"ir_s_1",31.0592185944329
"2215","23_24_1",2643,3720,2223.91367216296,2312.85445356862,"ir75_s_1",26.454887767864
"718","23_24_1",2643,3720,2339.30934133648,2424.97386120888,"ic3_s_1",98.9398109540834
"114","23_24_1",2643,3720,2523.91367216296,2612.85445356862,"rjx_s",87.0725841284766
"5427","23_24_1",2643,3720,2699.92703769709,2785.8385124146,"s25_s_1",1238.07515974836
"1801","23_24_1",2643,3720,4023.91367216296,4112.85445356839,"ic2_s_1",209.994352428855
"2162","23_24_1",2643,3720,4322.84880599724,4411.13433509595,"ir70_s_2",22.4290843168574
"3004","23_24_1",2643,3720,4433.56341941281,4513.55862684435,"re_s_2",1190.35504531844
"331","23_24_1",2643,3720,5703.91367216278,5792.85445356796,"ec_s_1",31.0592185948217
"2252","23_24_1",2643,3720,5823.91367216278,5912.85445356796,"ir75_s_2",26.4548877683164
"1069","23_24_1",2643,3720,5939.30934133628,6024.97386120859,"ic3_s_2",274.95317648851
"5665","23_24_1",2643,3720,6299.9270376971,6385.83851241384,"s25_s_2",NA
"2038","24_25_1",3720,4797,468.597006742066,542.41810356852,"ir46_s_1",39.7432881430734
"368","24_25_1",3720,4797,582.161391711593,653.325886209155,"ice_s_1",113.839997526775
"2144","24_25_1",3720,4797,767.16588373593,840.455660096656,"ir70_s_1",31.0009667474212
"2290","24_25_1",3720,4797,871.456626844077,942.637626844177,"re_s_1",1205.95937989788
"2074","24_25_1",3720,4797,2148.59700674206,2222.41810356858,"ir_s_1",46.1789031735689
"2216","24_25_1",3720,4797,2268.59700674214,2342.41810356866,"ir75_s_1",39.7432881429363
"719","24_25_1",3720,4797,2382.1613917116,2453.32588620868,"ic3_s_1",115.271120533466
"115","24_25_1",3720,4797,2568.59700674214,2642.41810356866,"rjx_s",98.5599088458775
"5428","24_25_1",3720,4797,2740.97801241454,2817.34076241465,"s25_s_1",1251.25624432749
"1802","24_25_1",3720,4797,4068.59700674214,4142.41810356794,"ic2_s_1",224.747780167566
"2163","24_25_1",3720,4797,4367.16588373551,4440.45566009575,"ir70_s_2",31.0009667485401
"3005","24_25_1",3720,4797,4471.45662684429,4542.63762684439,"re_s_2",1205.95937989758
"332","24_25_1",3720,4797,5748.59700674197,5822.41810356752,"ec_s_1",46.1789031744511
"2253","24_25_1",3720,4797,5868.59700674197,5942.41810356752,"ir75_s_2",39.743288143788
"1070","24_25_1",3720,4797,5982.16139171131,6053.32588620839,"ic3_s_2",287.652126205957
"5666","24_25_1",3720,4797,6340.97801241434,6417.34076241341,"s25_s_2",NA
"2039","25_26_1",4797,5874,498.391903568479,571.981753568568,"ir46_s_1",38.7534326405329
"369","25_26_1",4797,5874,610.7351862091,681.677911209201,"ice_s_1",115.038648887399
"2145","25_26_1",4797,5874,796.716560096599,869.776985096703,"ir70_s_1",30.7586417474208
"2291","25_26_1",4797,5874,900.535626844124,971.716626844224,"re_s_1",1206.67527672429
"2075","25_26_1",4797,5874,2178.39190356852,2251.98175356862,"ir_s_1",46.4101499999847
"2217","25_26_1",4797,5874,2298.39190356861,2371.98175356871,"ir75_s_1",38.7534326402015
"720","25_26_1",4797,5874,2410.73518620891,2481.67791120848,"ic3_s_1",116.713992360129
"116","25_26_1",4797,5874,2598.39190356861,2671.98175356871,"rjx_s",100.498508845881
"5429","25_26_1",4797,5874,2772.48026241459,2848.8430124147,"s25_s_1",1249.54889115377
"1803","25_26_1",4797,5874,4098.39190356847,4171.9817535675,"ic2_s_1",224.734806528484
"2164","25_26_1",4797,5874,4396.71656009599,4469.77698509556,"ir70_s_2",30.7586417487846
"3006","25_26_1",4797,5874,4500.53562684434,4571.71662684444,"re_s_2",1206.6752767236
"333","25_26_1",4797,5874,5778.39190356804,5851.98175356708,"ec_s_1",46.4101500009656
"2254","25_26_1",4797,5874,5898.39190356804,5971.98175356708,"ir75_s_2",38.7534326415444
"1071","25_26_1",4797,5874,6010.73518620862,6081.67791120819,"ic3_s_2",290.802351205717
"5667","25_26_1",4797,5874,6372.4802624139,6448.84301241297,"s25_s_2",NA
"2040","26_27_1",5874,6951,527.955553568511,601.545403568615,"ir46_s_1",37.5418076405309
"370","26_27_1",5874,6951,639.087211209146,710.029936209246,"ice_s_1",116.0079488874
"2146","26_27_1",5874,6951,826.037885096647,899.09831009675,"ir70_s_1",30.5163167474204
"2292","26_27_1",5874,6951,929.614626844171,1000.79562684427,"re_s_1",1207.1599267243
"2076","26_27_1",5874,6951,2207.95555356857,2281.54540356867,"ir_s_1",46.4101499999847
"2218","26_27_1",5874,6951,2327.95555356866,2401.54540356876,"ir75_s_1",37.5418076399546
"721","26_27_1",5874,6951,2439.08721120871,2510.02993620828,"ic3_s_1",117.925617360376
"117","26_27_1",5874,6951,2627.95555356866,2701.54540356876,"rjx_s",102.437108845884
"5430","26_27_1",5874,6951,2803.98251241464,2880.34526241475,"s25_s_1",1247.61029115327
"1804","26_27_1",5874,6951,4127.95555356803,4201.54540356706,"ic2_s_1",224.492481528729
"2165","26_27_1",5874,6951,4426.03788509579,4499.09831009536,"ir70_s_2",30.5163167490291
"3007","26_27_1",5874,6951,4529.61462684439,4600.79562684449,"re_s_2",1207.15992672311
"334","26_27_1",5874,6951,5807.9555535676,5881.54540356664,"ec_s_1",46.4101500009656
"2255","26_27_1",5874,6951,5927.9555535676,6001.54540356664,"ir75_s_2",37.5418076417873
"1072","26_27_1",5874,6951,6039.08721120842,6110.02993620799,"ic3_s_2",293.952576205477
"5668","26_27_1",5874,6951,6403.98251241347,6480.34526241253,"s25_s_2",NA
"2041","27_28_1",6951,8028,557.519203568559,631.109053568663,"ir46_s_1",36.330182640529
"371","27_28_1",6951,8028,667.439236209192,738.381961209292,"ice_s_1",116.977248887402
"2147","27_28_1",6951,8028,855.359210096694,928.419635096798,"ir70_s_1",30.27399174742
"2293","27_28_1",6951,8028,958.693626844218,1029.87462684432,"re_s_1",1207.6445767243
"2077","27_28_1",6951,8028,2237.51920356861,2311.10905356872,"ir_s_1",46.4101499999847
"2219","27_28_1",6951,8028,2357.5192035687,2431.10905356881,"ir75_s_1",36.3301826397078
"722","27_28_1",6951,8028,2467.43923620852,2538.38196120808,"ic3_s_1",119.137242360623
"118","27_28_1",6951,8028,2657.5192035687,2731.10905356881,"rjx_s",104.375708845887
"5431","27_28_1",6951,8028,2835.4847624147,2911.8475124148,"s25_s_1",1245.67169115278
"1805","27_28_1",6951,8028,4157.51920356758,4231.10905356662,"ic2_s_1",224.250156528973
"2166","27_28_1",6951,8028,4455.35921009559,4528.41963509516,"ir70_s_2",30.2739917492736
"3008","27_28_1",6951,8028,4558.69362684443,4629.87462684453,"re_s_2",1207.64457672263
"335","27_28_1",6951,8028,5837.51920356716,5911.10905356619,"ec_s_1",46.4101500009656
"2256","27_28_1",6951,8028,5957.51920356716,6031.10905356619,"ir75_s_2",36.3301826420302
"1073","27_28_1",6951,8028,6067.43923620822,6138.38196120779,"ic3_s_2",297.102801205237
"5669","27_28_1",6951,8028,6435.48476241303,6511.84751241209,"s25_s_2",NA
"2042","28_29_1",8028,9105,587.082853568607,660.672703568711,"ir46_s_1",35.118557640527
"372","28_29_1",8028,9105,695.791261209238,766.733986209338,"ice_s_1",117.946548887404
